Time,Amplitude
87.1,-0.21
87.10277778,-0.2
87.10555556,-0.225
87.10833333,-0.24
87.11111111,-0.215
87.11388889,-0.17
87.11666667,-0.14
87.11944444,-0.175
87.12222222,-0.205
87.125,-0.205
87.12777778,-0.19
87.13055556,-0.16
87.13333333,-0.16
87.13611111,-0.175
87.13888889,-0.205
87.14166667,-0.245
87.14444444,-0.22
87.14722222,-0.18
87.15,-0.17
87.15277778,-0.215
87.15555556,-0.25
87.15833333,-0.245
87.16111111,-0.23
87.16388889,-0.21
87.16666667,-0.205
87.16944444,-0.215
87.17222222,-0.22
87.175,-0.215
87.17777778,-0.22
87.18055556,-0.22
87.18333333,-0.23
87.18611111,-0.27
87.18888889,-0.26
87.19166667,-0.26
87.19444444,-0.265
87.19722222,-0.245
87.2,-0.235
87.20277778,-0.22
87.20555556,-0.245
87.20833333,-0.265
87.21111111,-0.26
87.21388889,-0.25
87.21666667,-0.28
87.21944444,-0.305
87.22222222,-0.295
87.225,-0.26
87.22777778,-0.245
87.23055556,-0.235
87.23333333,-0.225
87.23611111,-0.23
87.23888889,-0.23
87.24166667,-0.235
87.24444444,-0.215
87.24722222,-0.205
87.25,-0.185
87.25277778,-0.175
87.25555556,-0.19
87.25833333,-0.175
87.26111111,-0.105
87.26388889,-0.06
87.26666667,-0.045
87.26944444,-0.035
87.27222222,0.02
87.275,0.085
87.27777778,0.1
87.28055556,0.075
87.28333333,0.045
87.28611111,0.015
87.28888889,-0.005
87.29166667,0.035
87.29444444,0.045
87.29722222,0.025
87.3,-0.025
87.30277778,-0.11
87.30555556,-0.205
87.30833333,-0.235
87.31111111,-0.2
87.31388889,-0.2
87.31666667,-0.235
87.31944444,-0.255
87.32222222,-0.29
87.325,-0.305
87.32777778,-0.285
87.33055556,-0.265
87.33333333,-0.315
87.33611111,-0.37
87.33888889,-0.385
87.34166667,-0.355
87.34444444,-0.34
87.34722222,-0.305
87.35,-0.275
87.35277778,-0.255
87.35555556,-0.27
87.35833333,-0.305
87.36111111,-0.355
87.36388889,-0.44
87.36666667,-0.47
87.36944444,-0.485
87.37222222,-0.44
87.375,-0.3
87.37777778,-0.055
87.38055556,0.365
87.38333333,0.89
87.38611111,1.385
87.38888889,1.725
87.39166667,1.92
87.39444444,1.985
87.39722222,1.96
87.4,1.85
87.40277778,1.585
87.40555556,1.095
87.40833333,0.455
87.41111111,-0.185
87.41388889,-0.81
87.41666667,-0.775
87.41944444,-0.585
87.42222222,-0.5
87.425,-0.51
87.42777778,-0.525
87.43055556,-0.51
87.43333333,-0.485
87.43611111,-0.46
87.43888889,-0.44
87.44166667,-0.425
87.44444444,-0.42
87.44722222,-0.44
87.45,-0.44
87.45277778,-0.47
87.45555556,-0.485
87.45833333,-0.48
87.46111111,-0.465
87.46388889,-0.45
87.46666667,-0.45
87.46944444,-0.46
87.47222222,-0.485
87.475,-0.485
87.47777778,-0.485
87.48055556,-0.46
87.48333333,-0.435
87.48611111,-0.445
87.48888889,-0.465
87.49166667,-0.445
87.49444444,-0.425
87.49722222,-0.43
